Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 1","20,957,089","Stone Music Entertainment
지니뮤직",,
2,-,"밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","19,752,363","꿈의엔진
Kakao Entertainment",,
3,-,"

Dynamite
방탄소년단 | Dynamite","17,975,278","BIGHIT MUSIC / HYBE
Dreamus",,
4,-,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","15,961,908","버스커버스커
Kakao Entertainment",,
5,-,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))
릴보이 (lIlBOI) | 쇼미더머니 9 Episode 3","14,030,843","Stone Music Entertainment
지니뮤직",,
6,-,"

Lovesick Girls
BLACKPINK | THE ALBUM","13,956,829","YG Entertainment
YG PLUS",,
7,-,"

힘든 건 사랑이 아니다
임창정 | 힘든 건 사랑이 아니다","13,668,937","예스아이엠엔터테인먼트
인터파크",,
8,-,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","13,597,782","TOON STUDIO
Kakao Entertainment",,
9,-,"

Life Goes On
방탄소년단 | BE","13,225,054","BIGHIT MUSIC / HYBE
Dreamus",,
10,-,"CREDIT (Feat. 염따, 기리보이, Zion.T)
릴보이 (lIlBOI) | 쇼미더머니 9 Final","12,036,911","Stone Music Entertainment
지니뮤직",,
11,2,"

오래된 노래
스탠딩 에그(Standing Egg) | 오래된 노래","10,750,844","BORN
Kakao Entertainment",,
12,2,"Savage Love (Laxed - Siren Beat) (BTS Remix)
Jawsh 685, Jason Derulo, BTS | Savage Love (Laxed - Siren Beat) (BTS Remix)","10,694,684","Columbia
Sony Music",,
13,3,"

내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
규현 (KYUHYUN) | 내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) OST","10,478,074","TOON STUDIO, 느을
Kakao Entertainment",,
14,4,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","10,167,675","TOON STUDIO, 느을
Kakao Entertainment",,
15,76,"

나로 바꾸자 (duet with JYP)
비 (Rain) | 나로 바꾸자 (duet with JYP)","9,957,851","써브라임 아티스트 에이전시, JYP엔터테인먼트
Kakao Entertainment",,
16,4,"ON AIR (Feat. 로꼬, 박재범 & GRAY)
릴보이 (lIlBOI) | 쇼미더머니 9 Final","9,923,162","Stone Music Entertainment
지니뮤직",,
17,-,"

어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
AKMU (악뮤) | 항해","9,902,255","YG Entertainment
YG PLUS",,
18,3,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)
미란이 (Mirani) | 쇼미더머니 9 Episode 3","9,887,585","Stone Music Entertainment
지니뮤직",,
19,-,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","9,542,325","EDAM엔터테인먼트
Kakao Entertainment",,
20,-,"

When We Disco (Duet with 선미)
박진영 | When We Disco","9,428,572","JYP Entertainment
Dreamus",,
21,6,"

혼술하고 싶은 밤
벤 (Ben) | 혼술하고 싶은 밤","9,395,208","메이저나인
지니뮤직",,
22,1,"Freak (Prod. Slom)
릴보이 (lIlBOI) , 원슈타인 (Wonstein) , Chillin Homie , 스카이민혁 (Skyminhyuk) | 쇼미더머니 9 Episode 1","8,867,985","Stone Music Entertainment
지니뮤직",,
23,7,"

늦은 밤 너의 집 앞 골목길에서
노을 | 늦은 밤 너의 집 앞 골목길에서","8,735,170","씨제스엔터테인먼트
Kakao Entertainment",,
24,1,"

딩가딩가 (Dingga)
마마무 (Mamamoo) | 딩가딩가 (Dingga)","8,723,176","RBW
Kakao Entertainment",,
25,1,"흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
장범준 | 멜로가 체질 OST Part 3","8,705,948","Stone Music Entertainment, 삼화네트웍스
지니뮤직, Stone Music Entertainment",,
26,2,"모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","8,698,164","SM Entertainment
Dreamus",,
27,4,"뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom)
Khundi Panda | 쇼미더머니 9 Episode 3","8,525,568","Stone Music Entertainment
지니뮤직",,
28,7,"

Blueming
아이유 (IU) | Love poem","8,256,152","Kakao Entertainment
Kakao Entertainment",,
29,3,"

Dolphin
오마이걸 (OH MY GIRL) | NONSTOP","8,218,428","WM엔터테인먼트
Sony Music",,
30,1,"What Do I Call You
태연 (TAEYEON) | What Do I Call You - The 4th Mini Album","8,171,853","SM Entertainment
Dreamus",,
31,3,"

How You Like That
BLACKPINK | How You Like That","8,092,097","YG Entertainment
YG PLUS",,
32,6,"악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트)
스윙스(Swings) | 쇼미더머니 9 Semi Final","7,953,214","Stone Music Entertainment
지니뮤직",,
33,4,"

I CAN`T STOP ME
TWICE | Eyes wide open","7,939,996","JYP Entertainment
Dreamus",,
34,8,"

우린 어쩌다 헤어진 걸까
허각 | Hello","7,810,590","플레이엠엔터테인먼트
Kakao Entertainment",,
35,4,"

METEOR
창모 (CHANGMO) | Boyhood","7,669,317","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
36,2,"아로하
조정석 | 슬기로운 의사생활 OST Part 3","7,655,559","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
37,4,"

DON`T TOUCH ME
환불원정대 | DON`T TOUCH ME","7,652,273","신박기획
NHN벅스",,
38,3,"

어떻게 지내
오반 (OVAN) | 어떻게 지내","7,627,259","로맨틱팩토리
Kakao Entertainment",,
39,7,"

서면역에서
순순희 | 서면역에서","7,409,867","비에스엔터테인먼트
지니뮤직",,
40,29,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","7,285,459","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
41,12,"

사실 나는 (Feat.전건호)
경서예지 | 사실 나는","7,209,480","먼데이키즈 컴퍼니, 에버그로우
Kakao Entertainment",,
42,2,"

작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
방탄소년단 | MAP OF THE SOUL : PERSONA","7,166,333","BIGHIT MUSIC / HYBE
Dreamus",,
43,9,"

Panorama
IZ*ONE (아이즈원) | One-reeler / Act IV","7,079,426","OFF THE RECORD Entertainment, SWING Entertainment
지니뮤직, Stone Music Entertainment",,
44,3,"Memories
Maroon 5 | Memories","6,950,261","222 Records/Interscope Records
Universal Music",,
45,28,"

그날에 나는 맘이 편했을까
이예준 | 그날에 나는 맘이 편했을까","6,909,529","뮤니콘
Kakao Entertainment",,
46,2,"

뻔한남자
이승기 | 뻔한남자","6,869,333","후크엔터테인먼트
Kakao Entertainment",,
47,8,"

거짓말이라도 해서 널 보고싶어
백지영 | 거짓말이라도 해서 널 보고싶어","6,866,308","트라이어스
Kakao Entertainment",,
48,2,"

잘할게
이승기 | The Project","6,853,894","후크엔터테인먼트
Kakao Entertainment",,
49,13,"

한잔이면 지워질까
황인욱 | 한잔이면 지워질까","6,838,824","How엔터테인먼트
NHN벅스",,
50,7,"고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom)
머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Semi Final","6,837,220","Stone Music Entertainment
지니뮤직",,
51,6,"

마리아 (Maria)
화사(Hwa Sa) | Mara","6,825,575","RBW
Kakao Entertainment",,
52,4,"마음을 드려요
아이유 (IU) | 사랑의 불시착 OST Part 11","6,786,603","EDAM엔터테인먼트
Kakao Entertainment",,
53,17,"

Snowman
Sia | Snowman","6,691,795","Monkey Puzzle, Atlantic
Warner Music",,
54,6,"시작
가호 (Gaho) | 이태원 클라쓰 OST Part.2","6,558,656","블렌딩
블렌딩",,
55,1,"

가을밤에 든 생각
잔나비 | 잔나비 소곡집 l","6,552,940","페포니 뮤직
Kakao Entertainment",,
56,2,"

Love poem
아이유 (IU) | Love poem","6,539,959","Kakao Entertainment
Kakao Entertainment",,
57,2,"

오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
마크툽 (Maktub) | Red Moon : To You My Light","6,490,352","MAKTUB Company
Warner Music",,
58,1,"

살짝 설렜어 (Nonstop)
오마이걸 (OH MY GIRL) | NONSTOP","6,405,084","WM엔터테인먼트
Sony Music",,
59,10,"여백의 미 (Feat. Jessi, JUSTHIS ) (Prod. GroovyRoom)
머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Final","6,385,574","Stone Music Entertainment
지니뮤직",,
60,9,"

For You (Feat. Crush)
이하이 | For You","6,311,806","AOMG
지니뮤직, Stone Music Entertainment",,
61,8,"

우리 왜 헤어져야 해
신예영 | 우리 왜 헤어져야 해","6,178,492","스튜디오 오드리
Kakao Entertainment",,
62,1,"

홀로
이하이 | 홀로","6,174,684","AOMG
지니뮤직, Stone Music Entertainment",,
63,2,"

봄날
방탄소년단 | YOU NEVER WALK ALONE","6,143,959","BIGHIT MUSIC / HYBE
Dreamus",,
64,2,"

사랑은 지날수록 더욱 선명하게 남아
전상근 | 한 걸음 : 흔적","6,115,244","셀러빗(CELEBIT)
Kakao Entertainment",,
65,3,"

너를 만나
폴킴 | 너를 만나","6,027,545","뉴런뮤직
Kakao Entertainment",,
66,2,"2002
Anne-Marie | Speak Your Mind (Deluxe)","6,007,160","Atlantic Records UK
Warner Music",,
67,4,"

소확행
임창정 | 힘든 건 사랑이 아니다","5,960,994","예스아이엠엔터테인먼트
인터파크",,
68,46,"

All I Want For Christmas Is You
Mariah Carey | Merry Christmas (Deluxe Anniversary Edition)","5,959,048","Columbia/Legacy
Sony Music",,
69,6,"

눈누난나 (NUNU NANA)
제시(Jessi) | NUNA","5,924,196","피네이션
Kakao Entertainment",,
70,41,"

Santa Tell Me
Ariana Grande | Santa Tell Me","5,908,833","Republic Records, a division of UMG Recordings,Inc
Universal Music",,
71,11,"

너의 번호를 누르고 (Prod. 영화처럼)
#안녕 | 너의 번호를 누르고","5,623,325","시애틀뮤직
Warner Music",,
72,2,"

Dance Monkey
Tones And I | Dance Monkey","5,616,352","Elektra
Warner Music",,
73,6,"

Black Mamba
aespa | Black Mamba","5,591,489","SM Entertainment
Dreamus",,
74,34,"

미리 메리 크리스마스 (Feat. 천둥)
아이유 (IU) | Real","5,543,211","Kakao Entertainment
Kakao Entertainment",,
75,20,"

요즘
양다일 | 요즘","5,479,139","브랜뉴뮤직
Kakao Entertainment",,
76,1,"

처음처럼
엠씨더맥스 (M.C The Max) | CEREMONIA","5,471,177","325 이엔씨
Kakao Entertainment",,
77,2,"

Downtown Baby
블루 (BLOO) | Downtown Baby","5,407,903","메킷레인
Warner Music",,
78,3,"

사랑 못해, 남들 쉽게 다 하는 거
먼데이 키즈 (Monday Kiz) | 사랑 못해, 남들 쉽게 다 하는 거","5,400,127","먼데이키즈 컴퍼니
Kakao Entertainment",,
79,12,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)
머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Final","5,393,369","Stone Music Entertainment
지니뮤직",,
80,2,"안녕
폴킴 | 호텔 델루나 OST Part.10","5,308,345","냠냠엔터테인먼트
Kakao Entertainment",,
81,2,"

너도 아는
폴킴 | 너도 아는","5,234,694","뉴런뮤직
Kakao Entertainment",,
82,10,"적외선 카메라
원슈타인 (Wonstein) | 쇼미더머니 9 Episode 3","5,198,776","Stone Music Entertainment
지니뮤직",,
83,1,"

Bad Boy
청하, Christopher | Bad Boy","5,042,019","Parlophone Denmark
Warner Music",,
84,36,"12월의 어느 겨울…
윤도(YoonDo) | 12월의 어느 겨울…","4,957,874","꿈의엔진
Kakao Entertainment",,
85,8,"

행복해
송하예 | Happy","4,955,972","더하기미디어
Kakao Entertainment",,
86,-,"사랑하게 될 줄 알았어
전미도 | 슬기로운 의사생활 OST Part 11","4,954,176","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
87,2,"

Don`t Start Now
Dua Lipa | Don`t Start Now","4,924,866","Warner Records
Warner Music",,
88,1,"

Blue & Grey
방탄소년단 | BE","4,880,937","BIGHIT MUSIC / HYBE
Dreamus",,
89,2,"

아무노래
지코 (ZICO) | 아무노래","4,712,005","KOZ 엔터테인먼트
Kakao Entertainment",,
90,6,"

내 방을 여행하는 법
방탄소년단 | BE","4,654,648","BIGHIT MUSIC / HYBE
Dreamus",,
91,3,"

다시 여기 바닷가
싹쓰리 (유두래곤, 린다G, 비룡) | 다시 여기 바닷가","4,611,831","MBC
Kakao Entertainment",,
92,-,"Paris In The Rain
Lauv | I met you when I was 18. (the playlist)","4,544,617","뮤직테이블
NHN벅스",,
93,4,"ON
방탄소년단 | MAP OF THE SOUL : 7","4,526,868","BIGHIT MUSIC / HYBE
Dreamus",,
94,4,"원해 (Feat. 팔로알토) (Prod. 코드 쿤스트)
스윙스 (Swings) , 맥대디 (Mckdaddy) , Khakii (카키) , 래원 (Layone) | 쇼미더머니 9 Episode 1","4,517,315","Stone Music Entertainment
지니뮤직",,
95,3,"12:45 (Stripped)
Etham | 12:45 (Stripped)","4,493,664","Virgin EMI
Universal Music",,
96,5,"

별을 담은 시 (Ode To The Stars)
마크툽 (Maktub), 이라온 | Red Moon : Ode To The Stars","4,413,424","MAKTUB Company
Warner Music",,
97,3,"

Maniac
Conan Gray | Maniac","4,356,244","Republic Records
Universal Music",,
98,1,"

놓아줘 (with 태연)
크러쉬 (CRUSH) | with HER","4,302,273","피네이션
Dreamus",,
99,58,"

밝게 빛나는 별이 되어 비춰줄게
송이한 | 밝게 빛나는 별이 되어 비춰줄게","4,073,105","뮤직디자인
Kakao Entertainment",,
100,6,"부어라 비워라 (Tricker) (Prod. GroovyRoom)
머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 3","4,029,780","Stone Music Entertainment
지니뮤직",,