,music,singer,release_date,category,music_like,movie_like,movie_views
0,걱정말아요 그대,이적,2015.11.07,"발라드, 국내드라마",175223,,
1,소녀,오혁,2015.11.21,"발라드, 국내드라마",199124,1294.0,744349.0
2,어땠을까,김나영,2015.12.30,발라드,72675,,
3,Dream,"수지, 백현",2016.01.07,R&B/Soul,216083,14147.0,1394174.0
4,매일 그대와,소진,2015.12.26,"발라드, 국내드라마",20213,548.0,164752.0
5,사랑이 맞을거야,윤미래,2015.12.14,발라드,42381,624.0,218061.0
6,DADDY,싸이,2015.12.01,댄스,59969,4204.0,2797387.0
7,함께,노을,2015.12.19,"발라드, 국내드라마",73855,,
8,혜화동,박보람,2015.11.28,"발라드, 국내드라마",80463,887.0,369584.0
9,청춘,김필,2015.10.31,"포크/블루스, 국내드라마",89257,1160.0,487831.0
10,OOH-AHH하게,TWICE,2015.10.20,댄스,142864,10974.0,4936215.0
11,니가 하면 로맨스,케이윌,2016.01.06,R&B/Soul,50686,1005.0,304150.0
12,유레카,지코,2015.12.07,랩/힙합,92105,3704.0,1119871.0
13,또 다시 사랑,임창정,2015.09.22,발라드,197156,2299.0,502111.0
14,세월이 가면,기현(Kihyun),2016.01.02,"발라드, 국내드라마",35350,,
15,여자이니까,다비치,2016.06.22,발라드,8902,,
16,Sunflower,윤하,2016.06.27,"발라드, 국내드라마",24666,,
17,월량대표아적심,홍진영,2016.06.28,성인가요/트로트,12030,505.0,101860.0
18,No Way,"박용인, 권순일",2016.06.20,"발라드, 국내드라마",27743,,
19,Fashion,태연,2016.06.28,댄스,15107,,
20,Hands on Me,태연,2016.06.28,댄스,19270,,
21,SYSTEM,아이언,2016.09.09,랩/힙합,9809,361.0,70202.0
22,Up & Down,태연,2017.02.28,댄스,40682,3445.0,96300.0
23,Good Thing,태연,2016.06.28,댄스,15427,,
24,Machine Gun,"KUSH, 자이언티(Zion.T)",2016.06.29,랩/힙합,25711,,
25,처음 본 여자는 다 예뻐,베이빌론,2016.06.23,R&B/Soul,15060,210.0,57080.0
26,RAPSTAR,"플로우식, 더 콰이엇, 도끼(Dok2)",2016.07.02,랩/힙합,10158,478.0,42389.0
27,Ring My Bell,수지,2016.07.01,"발라드, 국내드라마",36293,1531.0,255691.0
28,Forever,비와이(BewhY),2016.07.02,랩/힙합,105583,1353.0,332960.0
29,드러머,"자이언티(Zion.T), 서출구",2016.07.02,랩/힙합,14801,420.0,39308.0
30,Why,태연,2016.06.28,댄스,121213,5088.0,714811.0
31,Shut Up,언니쓰,2016.07.01,댄스,61879,2648.0,848518.0
32,그의 바다,백예린,2016.06.20,R&B/Soul,74716,,
33,Night,태연,2018.06.18,댄스,39507,,
34,Beverly 1lls,"SUPERBEE, myunDo",2016.07.02,랩/힙합,15144,792.0,60089.0
35,Wonderland,구구단,2016.06.28,댄스,21743,1504.0,471953.0
36,호랑나비,보이비,2016.07.02,랩/힙합,58010,338.0,223176.0
37,Butterfly,비스트,2016.07.04,발라드,43354,5528.0,164935.0
38,Yeah Yeah,씨스타,2016.06.21,댄스,2088,,
39,No Jam,키썸,2016.06.23,랩/힙합,10141,581.0,142095.0
40,Starlight,태연,2016.06.28,발라드,84446,3828.0,324560.0
41,술김에,배치기,2016.06.17,랩/힙합,4322,114.0,28174.0
42,Zero,백예린,2016.06.20,발라드,42627,,
43,맘 편히,"사이먼 도미닉, GRAY, 원",2016.06.25,랩/힙합,82500,1815.0,216064.0
44,Bye bye my blue,백예린,2016.06.20,R&B/Soul,234106,2473.0,285500.0
45,I Like That,씨스타,2016.06.21,댄스,47726,2444.0,1420453.0
46,유리어항(One and Only),EXO,2016.06.09,R&B/Soul,56931,,
47,아주 오래된 연인들,하현우,2016.06.05,록/메탈,16337,,
48,무궁화,"매드 클라운, 도넛맨, 보이비, 샵건",2016.06.18,랩/힙합,14400,431.0,64392.0
49,알아듣겠지,윤하,2016.06.13,록/메탈,7940,1529.0,219471.0
50,니가 참 좋아,10cm,2016.06.16,포크/블루스,23765,414.0,76351.0
51,공중도덕,"The Quiett, Superbee, myunDo, Flowsik, 도끼",2016.06.18,랩/힙합,38955,1286.0,177816.0
52,니가 알던 내가 아냐,"사이먼 도미닉, 원(ONE), 지투(G2), BewhY",2016.06.18,랩/힙합,65397,1787.0,309930.0
53,달고나,"산이, 레이나",2016.06.17,랩/힙합,29229,1108.0,389501.0
54,하기나 해,GRAY,2015.04.07,랩/힙합,101769,,
55,Shut Up & Groove,헤이즈,2016.07.18,랩/힙합,62490,1504.0,296184.0
56,제껴,휘성,2016.06.14,R&B/Soul,6787,595.0,88988.0
57,Pulse,국카스텐,2016.06.12,"인디음악, 록/메탈",19052,789.0,36261.0
58,"기다린 만큼, 더",검정치마,2016.06.14,"발라드, 국내드라마",111922,1278.0,92385.0
59,신사,"자이언티(Zion.T), 씨잼(Cjamm), 레디(Reddy), 서출구",2016.06.18,랩/힙합,32443,1114.0,143408.0
60,Lucky One,EXO,2016.06.09,댄스,100129,14137.0,481458.0
61,No Matter What,"보아(BoA), 빈지노(Beenzino)",2016.06.17,일렉트로니카,39986,1428.0,156116.0
62,GOOD,"로꼬, GRAY",2016.06.15,랩/힙합,48786,1490.0,242606.0
63,I`ll Be There,이석훈,2016.06.07,"발라드, 국내드라마",8104,296.0,33012.0
64,바라지 않아,정키,2016.06.09,R&B/Soul,37351,514.0,156378.0
65,Cloud 9,EXO,2016.06.09,R&B/Soul,59657,,
66,오늘 모해,iKON,2016.05.30,랩/힙합,48024,4265.0,394060.0
67,Heaven,EXO,2016.06.09,랩/힙합,82987,,
68,뚝뚝뚝,스탠딩 에그(Standing Egg),2016.06.07,"발라드, 인디음악",31183,,
69,"Lazenca, Save Us",하현우,2016.06.05,록/메탈,38620,,
70,백색소음(White Noise),EXO,2016.06.09,댄스,66777,,
71,Monster,EXO,2016.06.09,댄스,154593,16844.0,1342575.0
72,APPLE PIE,피에스타,2016.05.31,댄스,6109,447.0,238229.0
73,The Time Goes On,비와이(BewhY),2015.03.10,랩/힙합,107398,1197.0,264395.0
74,바람에 머문다,린,2016.05.28,"발라드, 국내드라마",13468,280.0,58676.0
75,Time Travel,빈지노,2016.05.31,랩/힙합,28102,1394.0,136505.0
76,냉장고,길,2016.05.28,랩/힙합,8595,,
77,맥주 두 잔,키썸,2016.06.01,랩/힙합,24158,765.0,211288.0
78,L.I.E,EXID,2016.06.01,댄스,42329,670.0,114262.0
79,21,DEAN,2016.03.25,R&B/Soul,112179,,
80,토요일의 끝에서,빈지노,2016.05.31,랩/힙합,40322,,
81,너였다면,정승환,2016.05.31,"발라드, 국내드라마",234056,,
82,할 말,백아연,2016.05.24,발라드,9378,,
83,Fly,Jessica,2016.05.17,발라드,29985,1507.0,388374.0
84,좋아,종현,2016.05.24,댄스,32242,3959.0,133711.0
85,백만송이 장미,우리동네 음악대장,2016.05.22,발라드,12092,,
86,1llusion,도끼,2016.05.21,랩/힙합,42035,,
87,자격지심,박경,2016.05.25,랩/힙합,120216,3631.0,717028.0
88,White T-Shirt,종현,2016.05.24,댄스,20774,,
89,어쩌면 나,로이킴,2016.05.24,"발라드, 국내드라마",42730,1009.0,119807.0
90,쏘쏘,백아연,2016.05.24,R&B/Soul,95985,1356.0,416148.0
91,Good Luck,AOA,2016.05.16,댄스,33842,1920.0,1289077.0
92,사랑 앞에서,정은지,2016.05.19,"발라드, 국내드라마",8204,1140.0,47610.0
93,사진 찍어 보내 줘,개코,2016.05.12,"랩/힙합, 국내드라마",18707,95.0,39767.0
94,안아줘,정준일,2011.11.23,"인디음악, 록/메탈",229302,606.0,103052.0
95,마치 비행기,산이,2016.05.13,랩/힙합,15439,242.0,92143.0
96,사랑이 뭔데,"서현진, 유승우",2016.05.17,"발라드, 국내드라마",62877,,
97,매일 매일 기다려,우리 동네 음악대장,2016.05.08,록/메탈,27462,,
98,끄덕끄덕,남우현,2016.05.09,발라드,33465,5278.0,148483.0
99,Stand by me,남우현,2016.05.09,발라드,16443,,
100,꿈처럼,벤,2016.05.10,"발라드, 국내드라마",131549,,
101,I Just Wanna Dance,티파니,2016.05.11,댄스,20554,1395.0,377748.0
102,The Day,"케이윌, 백현",2016.05.13,발라드,57659,7533.0,224099.0
103,RUN,방탄소년단,2022.06.10,댄스,13381,,
104,House Of Cards,방탄소년단,2016.05.02,랩/힙합,93360,,
105,커플,젝스키스,1998.10.03,댄스,66422,3020.0,196294.0
106,주변인,AKMU,2016.05.04,발라드,20207,,
107,Love is not over,방탄소년단,2016.05.02,랩/힙합,87248,,
108,벚꽃이 지면,아이오아이,2016.05.04,댄스,83070,,
109,사소한 것에서,AKMU,2016.05.04,포크/블루스,17388,,
110,초록창가,AKMU,2016.05.04,댄스,26390,,
111,새삼스럽게 왜,AKMU,2016.05.04,포크/블루스,29343,,
112,Doo Wap,아이오아이,2016.05.04,댄스,14369,,
113,Save ME,방탄소년단,2016.05.02,댄스,195158,19781.0,818192.0
114,우아해,크러쉬,2016.05.06,R&B/Soul,70625,1732.0,294219.0
115,Dream Girls,아이오아이,2016.05.04,댄스,47928,6959.0,1896131.0
116,불타오르네,방탄소년단,2016.05.02,댄스,242982,26657.0,2626284.0
117,사람들이 움직이는 게,AKMU,2016.05.04,댄스,53293,2906.0,624497.0
118,RE-BYE,AKMU,2016.05.04,포크/블루스,74611,2742.0,646775.0
119,소중한 사랑,TWICE,2016.04.25,댄스,35591,,
120,너의 목소리,먼데이 키즈,2016.04.26,발라드,6733,,
121,제주도의 푸른 밤,태연,2016.04.12,록/메탈,96123,,
122,홍대에 가면,홍대광,2016.04.26,발라드,11341,297.0,36927.0
123,예쁘다,세븐틴,2016.04.25,댄스,138897,7022.0,469189.0
124,NICE 2 MEET U,마이티 마우스,2016.04.26,랩/힙합,5987,182.0,98344.0
125,하여가,우리동네 음악대장,2016.04.10,록/메탈,22234,,
126,이 노래가 끝나면,용준형,2016.04.27,R&B/Soul,17585,,
127,Destiny,러블리즈,2016.04.25,댄스,41658,2035.0,138679.0
128,내 입술 따뜻한 커피처럼,에디킴,2016.04.29,발라드,74431,1609.0,487477.0
129,CHEER UP,TWICE,2016.04.25,댄스,209567,14330.0,6034997.0
130,It`s OK,정은지,2016.04.18,발라드,11094,,
131,MISSING U,이하이,2016.04.20,R&B/Soul,20884,,
132,밤샘,이하이,2016.04.20,R&B/Soul,12146,,
133,Dynamic Love,박보람,2016.04.21,댄스,8256,266.0,118555.0
134,네가 손짓해주면,에이핑크,2016.04.19,발라드,25889,2974.0,286256.0
135,1년 365일,바이브,2016.04.21,발라드,17057,308.0,72611.0
136,MY STAR,이하이,2016.04.20,R&B/Soul,32423,1168.0,298522.0
137,살아있네,박진영,2016.04.10,댄스,10378,1348.0,458702.0
138,희망고문,이하이,2016.04.20,R&B/Soul,37711,,
139,사랑이었다,블락비,2016.04.11,R&B/Soul,58931,,
140,안봐도 비디오,이하이,2016.04.20,R&B/Soul,20658,,
141,하늘바라기,정은지,2016.04.18,발라드,164010,4113.0,778746.0
142,돌아오지마,헤이즈,2016.04.14,랩/힙합,187268,,
143,사랑의 바보,더 넛츠,2004.07.27,록/메탈,85974,212.0,53214.0
144,Walkin` In The Rain,블락비,2016.04.11,R&B/Soul,38959,2720.0,170966.0
145,사랑하자,SG 워너비,2016.03.31,"발라드, 국내드라마",75724,1086.0,269692.0
146,Toy,블락비,2016.04.11,R&B/Soul,126876,5320.0,722090.0
147,사랑에 빠져요,장범준,2016.03.25,록/메탈,19283,,
148,With You,린,2016.03.24,"발라드, 국내드라마",27227,1047.0,316028.0
149,How Can I Love You,XIA(준수),2016.04.14,"발라드, 국내드라마",71970,3556.0,328066.0
150,우연히 봄,"로꼬, 유주",2015.04.08,"발라드, 랩/힙합, 국내드라마",163422,2307.0,606863.0
151,일기장,이승철,2016.04.07,발라드,6777,110.0,36439.0
152,Fingertips,Pinkrush,2016.03.19,댄스,27420,,
153,그녀가 웃었죠,장범준,2016.03.25,록/메탈,11460,,
154,Crush,아이오아이,2016.04.05,댄스,29517,5532.0,1267361.0
155,이렇게 예뻤나,씨엔블루,2016.04.04,록/메탈,21647,1123.0,174964.0
156,"그대, 바람이 되어",엠씨더맥스,2016.04.07,"발라드, 국내드라마",39960,2238.0,283842.0
157,너도,로꼬,2016.04.05,랩/힙합,63138,,
158,스토커,10cm,2014.11.19,"인디음악, 포크/블루스",264848,929.0,285651.0
159,썸타,"첸, 헤이즈, 바이브",2016.04.08,댄스,49480,5163.0,251028.0
160,살찐 사랑,제시(Jessi),2016.03.15,R&B/Soul,7823,433.0,108459.0
161,벚꽃 엔딩,버스커 버스커,2012.03.29,록/메탈,334700,2275.0,690935.0
162,사랑이니까,에일리,2016.03.17,"발라드, 국내드라마",8706,327.0,44974.0
163,ONLY ONE,솔지하니(EXID),2016.03.03,댄스,11203,515.0,150541.0
164,FXXK WIT US,이하이,2016.03.09,R&B/Soul,13071,,
165,Cool Hot Sweet Love,레드벨벳(Red Velvet),2016.03.17,R&B/Soul,22563,,
166,Don`t Cry,우리 동네 음악대장,2016.03.13,록/메탈,49996,,
167,Good For You,에릭남,2016.03.24,댄스,56142,781.0,99079.0
168,봄이 좋냐??,10cm,2016.04.01,"인디음악, 포크/블루스",182342,1753.0,468041.0
169,몇 년 후에,블락비,2016.03.28,R&B/Soul,62385,4918.0,523916.0
170,무지개,스탠딩 에그(Standing Egg),2016.03.14,"발라드, 인디음악",52464,,
171,울랄라,장범준,2016.03.25,록/메탈,4495,,
172,홍대와 건대 사이,장범준,2016.03.25,록/메탈,32409,,
173,같은 곳에서,소녀온탑,2016.03.19,댄스,93255,2047.0,1115965.0
174,사랑에 빠졌죠,장범준,2016.03.25,록/메탈,71332,,
175,다시 너를,"매드 클라운, 김나영",2016.03.17,"발라드, 랩/힙합, 국내드라마",83256,1504.0,403003.0
176,사실은,박재범,2016.03.22,R&B/Soul,30914,1233.0,165191.0
177,7월 7일,레드벨벳(Red Velvet),2016.03.17,발라드,69321,6831.0,538475.0
178,귀여운 여자,장범준,2016.03.25,록/메탈,7121,,
179,봄비,장범준,2016.03.25,록/메탈,52138,,
180,빗속으로,장범준,2016.03.25,록/메탈,29317,,
181,그녀가 곁에 없다면,장범준,2016.03.25,록/메탈,62169,,
182,말해! 뭐해?,케이윌,2016.03.18,"발라드, 국내드라마",112787,3822.0,926834.0
183,Press Your Number,태민,2016.02.23,댄스,33712,3333.0,47571.0
184,팔당댐,에디킴,2016.02.26,댄스,24992,614.0,219354.0
185,공감,정준영,2016.02.24,발라드,81689,880.0,186014.0
186,싶은데,라디,2020.12.15,R&B/Soul,65,,
187,손잡아 줘요,이하이,2016.03.09,R&B/Soul,48255,1226.0,330476.0
188,한숨,이하이,2016.03.09,R&B/Soul,275437,2137.0,539695.0
189,Because of You,윤미래,2016.02.26,발라드,11504,184.0,37229.0
190,OFFICIAL,이하이,2016.03.09,R&B/Soul,11471,,
191,WORLD TOUR,이하이,2016.03.09,R&B/Soul,38940,,
192,봄인가 봐,"에릭남, 웬디",2016.03.04,발라드,114595,2838.0,361740.0
193,You Are My Everything,거미,2016.03.10,"발라드, 국내드라마",136599,2144.0,661149.0
194,이 사랑,다비치,2016.03.03,"발라드, 국내드라마",168930,2740.0,760465.0
195,사랑이 온다,"백지영, 치타",2016.02.29,댄스,9179,167.0,107254.0
196,다시 사랑한다면,김필,2016.02.21,발라드,105573,,
197,길,김윤아,2016.02.20,"발라드, 국내드라마",29306,409.0,79782.0
198,넌 is 뭔들,마마무,2016.02.26,댄스,105015,2763.0,163911.0
199,뭔가 될 것 같은 날,"슬옹, 윤현상",2016.02.16,R&B/Soul,12557,114.0,22251.0
200,만화처럼,"매드 클라운, 브라더수",2016.02.18,랩/힙합,20193,427.0,105396.0
201,ALWAYS,윤미래,2016.02.18,"발라드, 국내드라마",125455,1895.0,609730.0
202,취향저격,iKON,2015.11.16,랩/힙합,143961,8451.0,1567336.0
203,요리 좀 해요,"케이윌(K.will), 정기고(Junggigo), 주영, 브라더수(BrotherSu)",2016.02.15,R&B/Soul,7947,830.0,68501.0
204,조금만 더,스웨덴세탁소,2016.02.16,"록/메탈, 국내드라마",10283,,
205,횡단보도,조권,2016.02.15,발라드,10455,685.0,51927.0
206,꽃같아,유재환,2016.02.23,발라드,9598,,
207,Everytime,"첸(CHEN), 펀치",2016.02.25,"발라드, 국내드라마",138898,6105.0,596449.0
208,거짓말,이수정,2016.02.07,발라드,3444,,
209,I,태연,2015.10.07,록/메탈,221311,7902.0,1608045.0
210,HOT PINK,EXID,2015.11.18,댄스,43185,2439.0,1795752.0
211,1cm의 자존심,마마무,2016.02.12,랩/힙합,41652,4653.0,963153.0
212,못먹는 감,"산이, 매드 클라운(Mad Clown)",2015.11.19,랩/힙합,63793,884.0,504429.0
213,사랑한다 할 수 있기에,바비 킴,2016.02.06,"발라드, 국내드라마",6913,116.0,36042.0
214,PICK ME,PRODUCE 101,2017.03.09,댄스,101344,5383.0,1312313.0
215,질투 나요 BABY,AOA CREAM,2016.02.12,댄스,13398,1274.0,637037.0
216,스물셋,아이유,2015.10.23,댄스,189203,14127.0,3415658.0
217,싫어,포미닛,2016.02.01,댄스,18857,1543.0,760319.0
218,what2do,DEAN,2016.03.25,R&B/Soul,60645,,
219,뭐 어때,유승우,2016.02.02,"발라드, 인디음악",12428,414.0,59352.0
220,그댄 행복에 살텐데,김범수,2016.02.03,발라드,39873,,
221,약도 없대요,백지영,2016.02.02,발라드,7603,178.0,52833.0
222,비밀,태연,2016.02.03,발라드,36998,,
223,Ah-Choo,러블리즈,2015.10.01,댄스,87018,2175.0,150978.0
224,회상,장범준,2016.01.30,"발라드, 국내드라마",58583,,
225,Rain,태연,2016.02.03,발라드,183974,4548.0,578308.0
226,어김없이,엠씨더맥스,2016.01.28,발라드,45050,,
227,괜찮다가도,엠씨더맥스,2016.01.28,발라드,16695,,
228,서프라이즈,범키,2016.01.27,R&B/Soul,12144,43.0,11805.0
229,사랑이었다),지코,2016.01.25,발라드,118870,2900.0,316092.0
230,오늘부터 우리는,여자친구,2015.07.23,댄스,138609,5180.0,2264268.0
231,어디에도,엠씨더맥스,2016.01.28,발라드,238944,3153.0,567063.0
232,너와 나의 시간은,바닐라 어쿠스틱,2016.01.26,"발라드, 국내드라마",20735,,
233,UUU,정인,2016.01.26,발라드,16196,208.0,59704.0
234,시간을 달려서,여자친구,2016.01.25,댄스,168690,3218.0,397331.0
235,어린왕자,려욱,2016.01.28,발라드,60299,1502.0,102094.0
236,I Miss You,마마무,2016.01.29,R&B/Soul,74106,,
237,너는 나 나는 너,지코,2016.01.25,R&B/Soul,145041,6624.0,1149260.0
238,선,유승우,2016.02.02,"R&B/Soul, 인디음악",51424,,
239,나 군대 간다,이승기,2016.01.21,발라드,20172,,
240,당신의 지갑에는 얼마의 사랑이 있나요.,박유천,2016.01.18,발라드,3509,,
241,친구라도 될 걸 그랬어,거미,2003.02.01,R&B/Soul,87233,217.0,92211.0
242,우주를 건너,백예린,2015.11.30,R&B/Soul,164887,2377.0,414174.0
243,Boys And Girls,지코,2015.11.03,랩/힙합,156381,4413.0,1420950.0
244,기억날 그날이 와도,앤씨아,2016.01.16,"발라드, 국내드라마",13894,,
245,잊어버리지마,크러쉬,2016.01.22,R&B/Soul,195675,3041.0,558147.0
246,이젠 잊기로 해요,여은,2016.01.09,"발라드, 국내드라마",33148,,
247,로코 드라마,신혜성,2016.01.12,R&B/Soul,7843,1794.0,89564.0
248,네게 줄 수 있는건 오직 사랑뿐,디셈버,2015.12.05,"발라드, 국내드라마",33304,,
249,잘 지내고 있니,"윤미래, 펀치",2016.01.13,랩/힙합,15982,,
250,나팔바지,싸이,2015.12.01,댄스,65118,3659.0,2380682.0
251,돌아오지마,헤이즈,2016.04.14,랩/힙합,187269,,
252,Shut Up & Groove,헤이즈,2016.07.18,랩/힙합,62490,1504.0,296186.0
253,그의 바다,백예린,2016.06.20,R&B/Soul,74717,,
